URL,Width,Height,Folio,Title,View,Author,Hands,Date,Shelfmark,Institution
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0001.jpg,1821,1357,Upper Board,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0002.jpg,1325,1766,Inside of Upper Board,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0003.jpg,1821,1349,blank,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0004.jpg,1770,1357,blank,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0005.jpg,1763,1352,blank,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0006.jpg,1769,1344,blank,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0007.jpg,1763,1352,1r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0008.jpg,1769,1344,1v,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0009.jpg,1763,1352,2r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0010.jpg,1763,1352,2v,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0011.jpg,1763,1352,3r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0012.jpg,1763,1352,3v,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0013.jpg,1763,1352,4r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0014.jpg,1763,1352,4v,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0015.jpg,1763,1352,5r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0016.jpg,1763,1352,5v,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0017.jpg,1763,1352,6r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0018.jpg,1763,1352,6v,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0019.jpg,1763,1352,7r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0020.jpg,1763,1352,7v,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0021.jpg,1763,1352,8r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0022.jpg,1763,1352,8v,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0023.jpg,1763,1352,9r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0024.jpg,1763,1352,9v,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0025.jpg,1763,1352,10r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0026.jpg,1763,1352,10v,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0027.jpg,1763,1352,11r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0028.jpg,1763,1352,11v,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0029.jpg,1763,1352,12r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0030.jpg,1763,1352,12v,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0031.jpg,1763,1352,13r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0032.jpg,1763,1352,13v,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0033.jpg,1763,1352,14r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0034.jpg,1745,1338,14v,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0035.jpg,1763,1352,15r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0036.jpg,1763,1352,15v,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0037.jpg,1764,1352,16r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0038.jpg,1759,1349,16v,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
/mnt/data/scratch/derivs_bhs2011ox-bhs2011-0039.jpg,1763,1352,17r,Title,View,Percy Bysshe Shelley,Percy Bysshe Shelley,Unknown,MS.   Shelley e. 3,Bodleian Library University of Oxford
